Name,Type,City,Address,Latitude,Longitude,Price(Rs.),Time
Fun Factory,amusement park,Chandigarh,745163  Chandigarh,30.745071,76.788294,250,2 hour 25 min
G.A.S.P Art,art gallery,Chandigarh,3202 Ground Floor  Sector 40D  Chandigarh 160036  Chandigarh,30.737114,76.788219,230,3 hour 10 min
G.A.S.P Art,art gallery,Chandigarh,3202 Ground Floor  Sector 40D  Chandigarh 160036  Chandigarh,30.734961,76.78493,170,2 hour 50 min
Geometric Hill,monument,Chandigarh,Chandigarh 160001  Chandigarh,30.759005,76.804806,80,3 hour
Government Museum and Art Gallery,art gallery,Chandigarh,Sector 10-c (Jan Marg)  Chandigarh 160017  Chandigarh,30.748905,76.787194,200,3 hour 10 min
International Doll's Museum,museum,Chandigarh,Sector 23B  Chandigarh 160023  Chandigarh,30.739722,76.766833,210,5 hour 10 min
IPA Church,church,Chandigarh,Maheshpur  Panchkula 682161  Haryāna,30.682228,76.864178,0,1 hour
Iskcon Temple,temple,Chandigarh,Sector 36  Chandigarh 941735  Chandigarh,30.732743,76.760317,50,3 hour
Le Corbusier Centre,museum,Chandigarh,Sector 19B  Old Architech Building  Madhya Marg (Madhya Marg)  Chandigarh 160019  Chandigarh,30.730008,76.79936,210,5 hour 10 min
Little Flower Convent School,church,Chandigarh,Sector 14  Panchkula 134113  Haryāna,30.678668,76.845854,0,1 hour
National Gallery of Portraits,art gallery,Chandigarh,Sector-17B  Chandigarh 160017  Chandigarh,30.740385,76.784627,230,2 hour 50 min
Natural History Museum,museum,Chandigarh,Sector 10 (CITCO Road)  Chandigarh 160011  Chandigarh,30.748097,76.78585,250,3 hour 30 min
Nehru Park,park,Chandigarh,Sector 22  Chandigarh  Chandigarh,30.733411,76.772506,75,2 hour
Open Hand Monument,monument,Chandigarh,Sector 1 (Uttar Marg)  Chandigarh 941735  Chandigarh,30.759016,76.807417,60,3 hour
Park,park,Chandigarh,941735,30.733324,76.776731,125,2 hour
Park Plaza,park,Chandigarh,Block Number 10  Sector 17  Chandigarh 160017  Chandigarh,30.744364,76.783752,130,2 hour
Sanatan Temple - 23,temple,Chandigarh,941735,30.737044,76.767072,50,3 hour 20 min
Sector 18 D Park,park,Chandigarh,Sector 18  Chandigarh  Chandigarh,30.731423,76.783843,75,2 hour
Shyam Mega Mall,mall,Chandigarh,Sector 34  Chandigarh 941735  Chandigarh,30.711036,76.767242,0,2 hour 30 min
Sunny Dhiman Photography,art gallery,Chandigarh,3332 Sector 19D  Chandigarh 160019  Chandigarh,30.72713,76.78932,250,2 hour 50 min
Tank Monument,monument,Chandigarh,10C  Sector 10 (CITCO Road)  Chandigarh 160011  Chandigarh,30.749484,76.786934,80,3 hour
Temple,temple,Chandigarh,Chandigarh 160043  Chandigarh,30.722329,76.751681,0,3 hour 20 min
Temple,temple,Chandigarh,Madhya Marg  Chandigarh 160101  Chandigarh,30.713123,76.84582,0,2 hour 30 min
Temple,temple,Chandigarh,Chandigarh 160025  Chandigarh,30.762949,76.727985,0,2 hour
The Tower Of Shadows,monument,Chandigarh,Capitol Complex  Sector 1 (Sector 1)  Chandigarh 160001  Chandigarh,30.759555,76.804075,60,5 hour 10 min
Worcester County Church Of Christ,church,Chandigarh,St. Johns High School  732576,30.732599,76.811273,0,1 hour
Ampa Skywalk,mall,Chennai,No 1  627  Nelson Manickam Road  Poonamalee High Road  Aminjikarai (627  Poonamalee High Road)  Chennai 600029  Tamil Nadu,13.07368,80.22134,0,2 hour 30 min
Anna Nagar Tower Park,park,Chennai,6th .And 3Road Main Road (Anna Nagar)  Chennai 600040  Tamil Nadu,13.08655,80.21432,125,2 hour
Anthropology Building,museum,Chennai,Egmore Museum (Egmore)  Chennai 071181  Tamil Nadu,13.071227,80.257148,130,5 hour 10 min
Baynes Memorial Batist Church :- Vepery road,church,Chennai,85596,13.085559,80.267346,0,1 hour
Bougain villa park,park,Chennai,Chennai 600102  Tamil Nadu,13.0919,80.221326,100,2 hour
Chandrapuri Temple,temple,Chennai,Anna Pilai Street  Chennai 941735  Tamil Nadu,13.085096,80.279186,50,3 hour
Chennai Citi Centre,mall,Chennai,Dr. Radha Krishnan Salai (Mylapore )  Chennai 600004  Tamil Nadu,13.043142,80.273758,0,2 hour 30 min
Chennai Snake Park,zoo,Chennai,Rajbhavan Post  Chennai 600022  Tamil Nadu,13.003793,80.238821,270,4 hour 10 min
Chennai Snake Park,zoo,Chennai,Guindy National Park  Sardar Patel Road  Rajbhavan Post  Chennai 600022  Tamil Nadu,13.004175,80.238313,90,3 hour 20 min
Christ Church,church,Chennai,Chennai  Tamil Nadu,13.066086,80.269864,0,1 hour
CSI William Charles Memorial Church  Broadway,church,Chennai,,13.092092,80.285432,0,1 hour
Dakshinachitra,amusement park,Chennai,Madras  Craft Foundation  G3 Madhurams Urur Olcott Road Besant  Chennai 600090  Tamil Nadu,13.065482,80.282206,350,3 hour 35 min
Dash 'N' Splash Water Park,amusement park,Chennai,114 Thambu Chetty Street  Parrys  Chennai 095723  Tamil Nadu,13.095577,80.289616,400,4 hour 40 min
Ethnic Tanjore Arts,art gallery,Chennai,18 Duraiswamy Road  T  Chennai 600017  Tamil Nadu,13.09122,80.277676,180,2 hour 50 min
Express Avenue,mall,Chennai,No. 2  Club House Road (Mount Rd.)  Chennai 600002  Tamil Nadu,13.058641,80.264114,0,2 hour 30 min
Ezhilagam,monument,Chennai,941735,13.071426,80.286036,60,3 hour 20 min
Fort Museum,museum,Chennai,Ford St George  Chennai 600009  Tamil Nadu,13.080694,80.28769,200,4 hour 10 min
Fort Public Park,park,Chennai,Rajaji Salai  Chennai  Tamil Nadu,13.077178,80.287638,50,2 hour
